#x1	x4	x6	x12	x23	y
0.3120039539030575	0.12635728396117524	0.23141869124369072	0.05833603024463211	0.4703359004112347	0.40294956271135657
0.30667113427326836	0.1177893053436943	0.2311381167783769	0.04722965915951939	0.464138299931447	0.8008679950629983
0.19618039219805364	0.26360536344356345	0.3324101305034731	0.35369378778746613	0.2815055020390128	0.4916076280168861
0.330597784813702	0.16074288533854492	0.15771628584204017	0.38043734094358944	0.0601148176999655	0.08924925349015224
0.09128985182388277	0.025273636035464418	0.2179482353610647	0.2887582930022776	0.7668819657453866	0.7918289797926539
0.31182297666693326	0.6522559232929847	0.7845308560262646	0.7821128583827449	0.910948108921396	0.7250901957418725
0.3087875798162555	0.6964216752879258	0.9450746928270465	0.8066130716839441	0.4083379656424081	0.5800502067357524
0.3097706253738239	0.7557931976552368	0.7657867787746231	0.829493299401291	0.31332684333324184	0.7797873223190647
0.24307014305569477	0.2136506624020382	0.40844560292462406	0.18144022418687292	0.5615092778079177	0.5881405654412774
0.12781969076838648	0.447751782804093	0.5111547560279446	0.5618554994925434	0.44290007656420316	0.5556713019643409
0.17646713740925624	0.15578051043077393	0.3754580622169248	0.3667217081746066	0.2909206106448108	0.46580953698527516
0.32188150094846113	0.7884397995594351	0.6641681486301249	0.7802850880418676	0.3909851610374958	0.2696897688848308
0.13292755738504955	0.6036872941988606	0.7646767339803195	0.6509951602701344	0.26200737419109643	0.7660799716272023
0.2796645769864081	0.3193352421794833	0.48638943860393613	0.1596871828065256	0.4789167166447544	0.491918139032435
0.291722574804886	0.6496077215678692	0.767190897175802	0.672172656261544	0.5839627076076948	0.7579149045313069
0.19836921083153405	0.4405682645927989	0.766776162011306	0.6881316288854412	0.7079590538838446	0.7865780008733007
0.2206695588009978	0.6398187807254965	0.8951505060828273	0.7832271730975807	0.3502964836721832	0.7281003839022792
0.24233777723099637	0.69991022250403	0.9729541583690324	0.8575111431471539	0.4130095261886778	0.7676346436702993
0.3277684687803587	0.5058113641198253	0.7443476498306165	0.7127127495256367	0.5672063028643378	0.518652065330609
0.09059090180342501	0.11919779236434014	0.06596127075518946	0.3027037761661947	0.7187567041351351	0.2934764696696955
0.04458947944519594	0.10482709334808517	0.06587757607752796	0.28160534871069587	0.76147104338034	0.39048531456436497
0.13675095743011065	0.18101446226385504	0.11426722194520185	0.34561224790014833	0.7663099391395642	0.33094491269451365
